Test Case ID,Requirement ID,Coverage Item ID,Technique,Priority,Preconditions,Test Data,Steps,Expected Result,Oracle Explanation,Automation Candidate,Traceability
"TC-015","5","15","State Transition Testing","High","不存在的分类ID","选择不存在的分类ID","1. 通过接口传入不存在的分类ID","系统返回错误，不允许越权","状态转换：无效ID不应越权返回数据","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-016","6","16","Boundary Value Analysis","Medium","搜索结果有多页","page=1","1. 搜索后 2. 请求第一页","返回第一页数据","最小页码边界：page=1应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-017","6","17","Boundary Value Analysis","Medium","最大页数为N","page=N+1","1. 搜索后 2. 请求超出最大页","返回空列表或提示无更多","超出最大页边界：应返回空或提示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-018","6","18","Equivalence Partitioning","High","搜索接口","page=-1 或 page=abc","1. 搜索时传入负数或非数字页码","系统返回参数校验错误","无效输入：负数或非数字应拒绝","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-019","7","19","Equivalence Partitioning","Medium","存在有效上架商品ID","有效商品ID","1. 访问商品详情页 2. 传入有效ID","展示商品详情，包括名称、价格、描述等","有效商品ID应返回完整详情","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-020","7","20","Equivalence Partitioning","Medium","不存在的商品ID","不存在的ID，如999999","1. 访问商品详情页 2. 传入不存在ID","返回404或提示商品不存在","不存在ID应返回错误","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-021","7","21","State Transition Testing","High","存在下架商品ID","下架商品ID","1. 访问商品详情页 2. 传入下架商品ID","提示商品已下架或返回404","状态转换：下架商品不应展示详情","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-022","8","22","Equivalence Partitioning","Medium","未注册用户访问注册页","无","1. 打开注册页面","表单（用户名、密码、验证码）正确显示，验证码图片加载","注册页应包含必要元素","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-023","8","23","Risk-based Prioritization","Medium","移动端设备","无","1. 使用移动设备打开注册页","页面自适应布局，元素正常显示","移动端响应式设计应适应屏幕","Partial","Requirement -> Coverage item -> Technique -> Test case"
"TC-024","9","24","Equivalence Partitioning","High","新用户，验证码正确","有效用户名、密码、验证码","1. 填写注册信息 2. 点击注册 3. 尝试登录","注册成功，可以用该账号登录","有效等价类应注册成功并可登录","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-025","9","25","Statement/Branch/Path Coverage","High","数据库可查询","注册成功后的账号","1. 注册新账号 2. 查看数据库中密码字段","密码以MD5（或其他加密）形式存储，非明文","密码安全存储要求","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-026","10","26","Equivalence Partitioning","Medium","注册页","分别留空用户名、密码、验证码","1. 逐个字段留空尝试注册","对应字段提示不能为空","空字段应分别提示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-027","10","27","Equivalence Partitioning","Medium","注册页","正确字段但验证码错误","1. 填写信息 2. 输入错误验证码","注册失败，提示验证码错误","验证码错误应阻止注册","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-028","11","28","Equivalence Partitioning","High","存在已有用户名","已存在的用户名","1. 使用已存在用户名注册","返回 SAME_LOGIN_NAME_EXIST 错误","重复用户名应返回特定错误码","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-029","11","29","State Transition Testing","High","尝试重复注册后","重复注册请求","1. 重复注册同一用户名 2. 查数据库","数据库不新增重复用户记录","状态转换：重复注册不应插入数据","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-030","12","30","Equivalence Partitioning","Medium","访问登录页","无","1. 打开登录页","显示登录表单和验证码","登录页应有必要元素","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-031","12","31","State Transition Testing","Medium","登录页","点击注册入口","1. 点击'注册'链接或按钮","跳转到注册页面","状态转换：点击注册应跳转","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-032","13","32","Equivalence Partitioning","High","已注册用户","正确用户名、密码、验证码","1. 输入凭证 2. 登录","登录成功，创建session（如返回token）","有效凭证应成功登录","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-033","13","33","State Transition Testing","Medium","登录成功","无","1. 登录成功后观察跳转","跳转到首页或个人中心","登录成功应有正确跳转","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-034","14","34","Equivalence Partitioning","Medium","登录页","分别留空用户名、密码、验证码","1. 逐个字段留空尝试登录","对应字段提示不能为空","空字段应分别提示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-035","14","35","Equivalence Partitioning","High","已注册用户","错误密码或不存在用户名","1. 输入错误密码或不存在用户","登录失败，提示'用户名或密码错误'","身份验证失败应有统一提示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-036","15","36","State Transition Testing","High","用户已被锁定","锁定用户的正确凭证","1. 使用锁定用户登录","登录被拒，提示用户已锁定","状态转换：锁定用户禁止登录","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-037","15","37","State Transition Testing","High","用户已被解锁","解锁后的正确凭证","1. 使用解锁用户登录","登录成功","状态转换：解锁后应可登录","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-038","16","38","Equivalence Partitioning","Medium","验证码服务正常","请求验证码","1. 请求获取验证码图片","返回图片且可识别验证码内容","验证码生成应返回有效图片","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-039","16","39","State Transition Testing","Medium","已获取验证码A","刷新验证码","1. 获取验证码A 2. 刷新验证码 3. 使用A登录","旧验证码A失效，登录失败","状态转换：刷新后旧码应失效","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-040","16","40","Decision Table","Medium","验证码校验忽略大小写（假设）","验证码'AbC'，输入'abc'","1. 输入与验证码忽略大小写相同的字符","验证通过","决策表：忽略大小写规则应生效","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-041","17","41","State Transition Testing","High","未登录用户","无","1. 直接访问个人中心URL","跳转到登录页面","未登录访问受限资源应拦截","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-042","17","42","Equivalence Partitioning","Medium","已登录用户","用户已登录","1. 登录后访问个人中心","显示当前用户的信息","已登录用户应看到自己的信息","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-043","18","43","Equivalence Partitioning","Medium","已登录","新昵称、新头像","1. 修改昵称和头像 2. 保存","更新成功，资料变化","正常修改应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-044","18","44","Boundary Value Analysis","Medium","已登录","超长文本（如1000字）","1. 在昵称框输入超长文本 2. 保存","系统截断或提示长度超限","边界值：超长字段应有处理","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-045","18","45","Statement/Branch/Path Coverage","High","已登录","XSS字符串如<script>alert(1)</script>","1. 输入XSS字符串 2. 保存 3. 查看其他页面","字符串被转义或清洗，无XSS执行","安全测试：XSS输入应被过滤","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-046","19","46","State Transition Testing","High","未登录","无","1. 直接访问收货地址页","跳转到登录页","未登录访问受限资源应拦截","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-047","19","47","Boundary Value Analysis","Medium","已登录且地址列表为空","无","1. 登录后访问收货地址页","显示空状态提示，如'暂无收货地址'","空列表边界应显示占位提示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-048","20","48","State Transition Testing","High","用户已登录","无","1. 退出登录 2. 尝试访问个人中心","退出后session清除，访问受限页跳转登录","退出后应清除会话","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-049","20","49","State Transition Testing","High","用户已退出","无","1. 退出后访问购物车","跳转到登录页","退出后访问受限资源应拦截","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-050","21","50","Equivalence Partitioning","Medium","购物车有多个商品","添加若干商品","1. 登录用户购物车有商品 2. 打开购物车页","正确显示商品列表和总价","多商品应正确展示和计算","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-051","21","51","Boundary Value Analysis","Medium","购物车为空","无","1. 打开空购物车页","显示空购物车提示","空购物车边界应显示提示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-052","22","52","Equivalence Partitioning","Medium","商品有效且在架","商品ID，数量1","1. 调用添加购物车接口 2. 传入有效商品和数量1","添加成功，购物车中增加该商品","有效商品添加应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-053","22","53","Boundary Value Analysis","Medium","添加数量","数量0或-1","1. 尝试添加数量0或负数","请求被拒绝，提示数量非法","数量边界：0和负数应被拒绝","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-054","22","54","Equivalence Partitioning","High","商品不存在","不存在商品ID","1. 添加不存在的商品ID","提示商品不存在","无效商品应提示错误","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-055","23","55","State Transition Testing","Medium","购物车已有某商品","再次添加同一商品","1. 添加同一商品（数量1） 2. 查看购物车","购物车中该商品数量更新（累加或覆盖，按设计）","重复添加应更新数量而非新增项","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-056","23","56","Boundary Value Analysis","High","购物车中某商品数量为5","再添加1个，使总数超过5","1. 尝试添加超过5个","添加失败，提示数量上限","数量上限边界：超过5应失败","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-057","24","57","Boundary Value Analysis","Medium","购物车已有12种不同商品","添加第13种商品","1. 添加一种新商品到购物车","添加成功，购物车有13种","容量边界：12到13应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-058","24","58","Boundary Value Analysis","High","购物车已有13种商品","添加第14种商品","1. 尝试添加第14种商品","添加失败，提示购物车已满","容量上限边界：超过13应失败","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-059","25","59","Equivalence Partitioning","Medium","购物车有商品","修改自己的购物车项数量为1","1. 调用修改数量接口 2. 数量改为1","更新成功，数量改变","有效修改应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-060","25","60","Boundary Value Analysis","Medium","购物车有商品","修改数量为6","1. 尝试修改数量为6","修改失败，提示数量超出上限","数量上限边界：超过5应失败","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-061","25","61","State Transition Testing","High","两个不同用户","用户A的购物车项ID","1. 用户B尝试修改用户A的购物车项数量","无权限，拒绝操作","权限控制：他人购物车项不可修改","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-062","26","62","Equivalence Partitioning","Medium","购物车有商品","删除自己的购物车项","1. 删除一项 2. 查看购物车总价","删除成功，总价更新","有效删除应成功并更新总价","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-063","26","63","State Transition Testing","High","两个不同用户","用户A的购物车项ID","1. 用户B尝试删除用户A的购物车项","无权限，拒绝操作","权限控制：他人购物车项不可删除","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-064","27","64","Equivalence Partitioning","Medium","购物车有商品","无","1. 点击结算 2. 查看页面","进入结算页，显示商品总价","有商品应显示结算信息","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-065","27","65","State Transition Testing","Medium","购物车为空","无","1. 点击结算","跳转回购物车页，提示购物车为空","空购物车应返回购物车","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-066","28","66","Equivalence Partitioning","High","购物车有商品，库存充足，有地址","正常提交订单","1. 提交订单","生成订单，库存扣减，购物车清空","正常流程应成功生成","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-067","28","67","Equivalence Partitioning","High","购物车商品库存不足","库存小于购买数量","1. 尝试提交订单","订单创建失败，提示库存不足","库存不足应拒绝订单","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-068","28","68","State Transition Testing","High","购物车中有下架商品","下架商品在购物车","1. 提交订单","提交失败，提示商品已下架","下架商品不可下单","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-069","29","69","Equivalence Partitioning","Medium","用户有订单","page=1","1. 查看第一页订单","显示当前用户的订单列表","正确页码应返回数据","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-070","29","70","Boundary Value Analysis","Medium","无订单或超出页数","page=999","1. 请求超出范围的页码","返回空订单列表","越界页码返回空列表","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-071","30","71","Equivalence Partitioning","Medium","用户有自己的订单","自己的订单ID","1. 查看自己订单详情","正常显示订单信息","自己订单应可查看","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-072","30","72","State Transition Testing","High","两个不同用户","用户B的订单ID","1. 用户A尝试查看用户B的订单详情","返回无权限错误","权限控制：他人订单不可查看","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-073","31","73","State Transition Testing","High","订单状态为待支付","待支付订单ID","1. 取消该订单 2. 检查库存","取消成功，库存恢复","待支付订单可取消并恢复库存","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-074","31","74","State Transition Testing","High","订单状态为已完成","已完成订单ID","1. 尝试取消已完成订单","取消失败，提示订单状态不允许","已完成订单不可取消","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-075","31","75","State Transition Testing","High","取消待支付订单","取消前记录库存","1. 取消订单 2. 对比库存","库存数量恢复为取消前的值","数据一致性：取消后库存应恢复","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-076","32","76","State Transition Testing","High","订单状态为已出库","已出库订单ID","1. 确认收货","订单状态变为已完成","已出库订单可确认收货","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-077","32","77","State Transition Testing","High","两个不同用户","用户B的订单（已出库）","1. 用户A尝试确认用户B的收货","操作失败，无权限","权限控制：只能确认自己的订单","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-078","33","78","Equivalence Partitioning","Medium","订单待支付","待支付订单ID","1. 选择支付方式（如支付宝）","显示对应支付页面","待支付订单可进入支付选择","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-079","33","79","State Transition Testing","Medium","订单非待支付（如已支付）","已支付订单ID","1. 访问支付方式选择页","提示订单状态错误","非待支付订单不可支付","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-080","34","80","Equivalence Partitioning","Medium","待支付订单","payType=1","1. 选择支付宝支付","加载支付宝支付页面","payType=1对应支付宝","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-081","34","81","Equivalence Partitioning","Medium","待支付订单","payType=2","1. 选择微信支付","加载微信支付页面","payType=2对应微信","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-082","34","82","Boundary Value Analysis","Medium","待支付订单","payType=3或其他值","1. 选择其他payType","默认使用微信支付或提示","其他值应默认处理","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-083","35","83","State Transition Testing","High","订单待支付，支付模拟成功","模拟支付回调","1. 发送支付成功回调","订单状态变为已支付","支付成功状态应变更","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-084","35","84","Statement/Branch/Path Coverage","High","订单已支付","重复支付回调","1. 再次发送相同回调","幂等处理，不重复更新，状态不变","重复回调应幂等","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-085","35","85","Equivalence Partitioning","High","不存在订单","不存在的订单号","1. 发送不存在的订单回调","返回失败，不处理","不存在订单应返回失败","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-086","36","86","Equivalence Partitioning","Medium","未登录后台","无","1. 访问后台登录页","显示登录表单和验证码","登录页应有表单","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-087","37","87","Equivalence Partitioning","High","管理员账号可用","正确账号、密码、验证码","1. 输入凭证 2. 登录","登录成功，进入后台","正确凭证应登录成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-088","37","88","Equivalence Partitioning","Medium","登录页","空字段或错误验证码/密码","1. 分别测试空字段、错误验证码、错误密码","提示相应错误信息","输入不合法应有提示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-089","38","89","State Transition Testing","High","未登录","无","1. 直接访问后台管理页面（如/admin/index）","跳转到/admin/login","未登录拦截应跳转登录","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-090","38","90","Equivalence Partitioning","Medium","未登录","静态资源URL如/admin/assets/css/style.css","1. 访问静态资源","静态资源可正常访问","静态资源不应被拦截","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-091","39","91","Equivalence Partitioning","Medium","管理员已登录","无","1. 登录后访问后台首页","显示菜单、session中的昵称","登录后应有首页内容","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-092","40","92","Equivalence Partitioning","Medium","管理员已登录","无","1. 查看管理员资料","显示用户名、昵称","资料页应显示用户信息","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-093","40","93","State Transition Testing","High","session失效","清除token或等待过期","1. session失效后访问资料页","跳转到登录页","session失效应重新登录","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-094","41","94","Equivalence Partitioning","Medium","管理员已登录","新昵称","1. 修改昵称 2. 保存","修改成功","正常修改应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-095","41","95","Boundary Value Analysis","Medium","管理员已登录","超长昵称（如100字符）","1. 输入超长昵称 2. 保存","截断或提示长度超限","超长字段应有处理","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-096","42","96","Equivalence Partitioning","High","管理员已登录，原密码正确","原密码、新密码","1. 修改密码 2. 保存","修改成功","原密码正确应可修改","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-097","42","97","State Transition Testing","High","密码修改成功","无","1. 修改密码后尝试访问后台页面","被重定向到登录页，session清除","修改密码后应重新登录","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-098","42","98","Equivalence Partitioning","High","管理员已登录","错误原密码","1. 输入错误原密码 2. 尝试修改","修改失败，提示原密码错误","原密码错误应失败","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-099","43","99","Equivalence Partitioning","Medium","存在轮播图数据","page=1, limit=10","1. 查询轮播图列表","返回分页数据，排序正确","正常分页应正确","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-100","43","100","Boundary Value Analysis","Medium","接口无参数","缺失page和limit","1. 不传分页参数查询列表","使用默认分页值（如page=1, limit=10）返回数据","缺失参数应有默认值","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-101","44","101","Equivalence Partitioning","Medium","管理员已登录","完整必填项","1. 新增轮播图 2. 保存","保存成功","完整必填应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-102","44","102","Equivalence Partitioning","Medium","管理员已登录","必填项为空","1. 留空必填项 2. 保存","保存失败，提示必填项","必填为空应提示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-103","44","103","Boundary Value Analysis","Medium","管理员已登录","rank=0 或 rank=最大","1. 设置rank为边界值 2. 保存","保存成功","边界值应正常处理","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-104","45","104","Equivalence Partitioning","Medium","管理员已登录","不存在的轮播图ID","1. 更新不存在的ID","操作失败，提示记录不存在","不存在的ID应失败","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-105","45","105","Boundary Value Analysis","Medium","管理员已登录","空数组 []","1. 批量删除传入空数组","不执行任何操作，返回成功","空数组应无操作","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-106","46","106","Equivalence Partitioning","Medium","存在分类数据","parentId=0（一级）","1. 查询一级分类","返回一级分类列表","有效parentId应返回分类","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-107","46","107","Equivalence Partitioning","Medium","管理员已登录","非法parentId（如-1）","1. 查询非法parentId","返回空列表或错误","非法ID应返回空或错误","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-108","47","108","Equivalence Partitioning","Medium","管理员已登录","同级无重名的分类名称","1. 新增分类 2. 保存","保存成功","新增不重复名称应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-109","47","109","Decision Table","High","同级已有同名分类","重复的分类名称","1. 新增重复名称的分类","保存失败，提示分类名已存在","同级同名应拒绝","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-110","48","110","Equivalence Partitioning","Medium","管理员已登录","修改名称","1. 修改分类名称 2. 保存","更新成功","正常修改应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-111","48","111","State Transition Testing","High","分类下有子分类或商品","有子分类的分类ID","1. 尝试删除该分类","删除失败，提示存在子分类或商品","有子分类或商品不可删除","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-112","49","112","Equivalence Partitioning","Medium","存在商品数据","分页参数正常","1. 查询商品列表","返回商品列表","正常分页应返回数据","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-113","49","113","Boundary Value Analysis","Medium","缺少分页参数","不传page和limit","1. 查询商品列表无参数","使用默认分页值返回数据","缺失参数默认处理","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-114","50","114","Equivalence Partitioning","Medium","管理员已登录","完整有效字段","1. 新增商品 2. 保存","保存成功","完整有效字段应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-115","50","115","Boundary Value Analysis","High","管理员已登录","价格=0","1. 设置价格为0 2. 保存","保存失败，提示价格必须大于0","价格边界：0应被拒绝","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-116","50","116","Equivalence Partitioning","Medium","管理员已登录","分类ID为一级分类","1. 新增商品时选择非三级分类","保存失败，提示请选择三级分类","商品必须挂在三级分类","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-117","51","117","Equivalence Partitioning","Medium","存在商品","修改价格和库存","1. 编辑商品 2. 保存","更新成功，前台详情同步","编辑有效应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-118","51","118","Equivalence Partitioning","High","管理员已登录","不存在的商品ID","1. 编辑不存在的商品ID","操作失败，提示商品不存在","不存在的ID应失败","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-119","52","119","State Transition Testing","High","商品处于下架状态","商品ID","1. 上架商品 2. 前台搜索该商品","上架成功，前台可搜索到","上架后应可搜索","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-120","52","120","State Transition Testing","High","商品处于上架状态","商品ID","1. 下架商品 2. 尝试将该商品加入购物车并下单","下架成功，用户无法下单","下架后不可下单","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-121","53","121","Equivalence Partitioning","Medium","管理员已登录","有效图片文件","1. 上传图片","上传成功，返回URL","有效图片应成功上传","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-122","53","122","Equivalence Partitioning","High","管理员已登录","非图片文件（如.txt）","1. 上传非图片文件","上传失败，提示文件格式不支持","非图片文件应拒绝","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-123","53","123","Statement/Branch/Path Coverage","High","管理员已登录","文件名含路径穿越如 '../'","1. 上传文件名含路径穿越的图片","文件安全处理，不产生路径穿越","安全测试：防止路径穿越","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-124","54","124","Equivalence Partitioning","Medium","存在首页配置","分页参数正常","1. 查询首页配置列表","返回分页数据","正常分页应返回","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-125","54","125","Boundary Value Analysis","Medium","无配置或页数超出","page=999","1. 查询超出范围的页码","返回空列表","越界页返回空","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-126","55","126","Equivalence Partitioning","Medium","管理员已登录","有效商品和rank","1. 新增首页配置 2. 保存","保存成功，前台对应区域显示","有效配置应成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-127","55","127","Decision Table","Medium","已存在同类型同商品的配置","重复配置","1. 新增相同配置","保存失败，提示配置已存在","重复配置应拒绝","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-128","56","128","Equivalence Partitioning","Medium","存在首页配置","存在的配置ID","1. 删除该配置","删除成功，前台不再显示","存在ID应删除成功","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-129","56","129","Boundary Value Analysis","Medium","管理员已登录","空ID数组","1. 传入空数组删除","无操作，返回成功","空数组无操作","Yes","Requirement -> Coverage item -> Technique -> Test case"
